algorithm_name,run_id,TOTAL_TAGS,BIT_ERROR_RATE,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,FP,FN,Reliability,Goodput,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS_MTI_128b,34,500,0.09000000000000001,0.5,96760.0,0.09676000000000001,0.0003394825000000001,16,0,16,0,0.0,5.0,1.0,0.988,5105.41546093427,96.76,0.09676,0.09709948250000001,31.25,194.19896500000002,2.066969822240595,5167.4245556014885,0.0093953459267,1.0
CT_MTI,6,500,0.08,0.5,283810.0,0.2838099999999982,0.0007630966000000013,281,125,156,0,0.44483985765124556,56.0,9.0,0.87,1532.7155491349847,283.81,0.28381,0.2845730965999982,1.7793594306049823,569.1461931999963,0.7046968041999929,1761.7420104999824,0.08076469054604549,0.5551601423487544
CR_MTI,6,500,0.08,0.5,1394850.0,1.3948499999999975,0.004173937500000021,510,1,509,0,0.00196078431372549,174.0,0.0,0.652,233.71688712047893,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.9980392156862745
CPT,6,500,0.08,0.5,205775.0,0.20577500000000043,0.000523099999999998,258,128,61,69,0.49612403100775193,18.0,0.0,0.964,2342.36423277852,205.775,0.205775,0.20629810000000043,1.937984496124031,412.59620000000086,0.9719353662981411,2429.838415745353,0.04245099152750009,0.2364341085271318
ECUMI,6,500,0.08,0.5,260382.5,0.26038249999999813,0.0006646812499999995,378,64,76,238,0.1693121693121693,20.0,15.0,0.9299999999999999,1785.8343014603515,260.3825,0.2603825,0.26104718124999815,1.3227513227513228,522.0943624999964,0.7681007748216566,1920.2519370541413,0.06797211767182765,0.20105820105820105
ISMTI,6,500,0.08,0.5,87792.5,0.08779250000000001,0.000495347,20,0,19,1,0.0,58.0,10.0,0.864,4920.693681123103,87.7925,0.0877925,0.088287847,25.0,176.57569400000003,2.278098926445881,5695.247316114703,0.0077510108077475,0.95
LODS_MTI,6,500,0.08,0.5,93825.0,0.09382500000000002,0.00034186500000000006,15,0,15,0,0.0,11.0,0.0,0.978,5211.830535571543,93.825,0.093825,0.09416686500000002,33.333333333333336,188.33373000000003,2.1316280309086064,5329.070077271515,0.008835206108625001,1.0
LODS_MTI_128b,6,500,0.08,0.5,96760.0,0.09676000000000001,0.00033969850000000005,16,0,16,0,0.0,9.0,1.0,0.98,5064.076064489458,96.76,0.09676,0.09709969850000001,31.25,194.19939700000003,2.066969822240595,5167.4245556014885,0.009395366826860001,1.0
CT_MTI,29,500,0.08,0.5,279330.0,0.27932999999999814,0.0007525590000000005,277,100,175,2,0.36101083032490977,54.0,13.0,0.866,1550.137829807038,279.33,0.27933,0.2800825589999981,1.8050541516245486,560.1651179999963,0.7159989976014034,1789.9974940035083,0.07823546120546948,0.631768953068592
CR_MTI,29,500,0.08,0.5,1394850.0,1.3948499999999975,0.0041739375000000205,510,2,508,0,0.00392156862745098,187.0,0.0,0.626,224.39688855432485,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.996078431372549
