total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Drift_Percent,Payload_Bits,Run_ID
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,24
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,25
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,27
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,27
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,28
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,29
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,28
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,29
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,30
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,30
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,32
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,32
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,33
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,34
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,33
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,34
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,35
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,35
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,36
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,36
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,39
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,38
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,38
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,39
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,0
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,0
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,1
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,2
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,2
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,4
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,4
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,6
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,5
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,6
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,5
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,7
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,8
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,7
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,9
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,8
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.15,128,9
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.15,256,10
