K,Rho,Run_ID,Drift_Val,Scenario
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
40,4,21,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
64,4,22,0.0,Ideal (Drift=0%)
40,4,22,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
64,4,23,0.0,Ideal (Drift=0%)
40,4,23,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
64,4,24,0.0,Ideal (Drift=0%)
40,4,24,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
64,4,26,0.0,Ideal (Drift=0%)
40,4,26,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
64,4,25,0.0,Ideal (Drift=0%)
40,4,25,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
64,4,27,0.0,Ideal (Drift=0%)
40,4,27,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
64,4,28,0.0,Ideal (Drift=0%)
40,4,28,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
64,4,29,0.0,Ideal (Drift=0%)
40,4,29,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
64,4,30,0.0,Ideal (Drift=0%)
