algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Adaptive (Ours),1,400,0.1,62552.5,0.06255250000000002,0.0003142709999999999,14,0,14,0,0.0,62.5525,0.0625525,0.06286677100000003,28.571428571428573,157.16692750000007,2.557851404819951,6394.628512049879,0.0039324736929775015,1.0
Fixed (rho=4),10,300,0.1,85765.0,0.08576500000000001,0.00029888100000000003,19,0,19,0,0.0,85.765,0.085765,0.08606388100000001,15.789473684210526,286.87960333333336,1.3991721564740862,3497.9303911852157,0.0073812687539650005,1.0
Fixed (rho=2),10,800,0.1,113062.5,0.11306250000000002,0.0009945179999999998,25,0,25,0,0.0,113.0625,0.1130625,0.11405701800000002,32.0,142.57127250000002,2.830292979546711,7075.732448866777,0.012895571597625003,1.0
Fixed (rho=4),18,100,0.1,27585.0,0.027585,5.2010100000000005e-05,6,0,6,0,0.0,27.585,0.027585,0.027637010099999998,16.666666666666668,276.370101,1.450063440275512,3625.1586006887806,0.0007623669236084999,1.0
Fixed (rho=3),8,300,0.1,51737.5,0.051737500000000006,0.00022545675000000003,10,0,10,0,0.0,51.7375,0.0517375,0.051962956750000004,30.0,173.20985583333334,2.3194008214544577,5798.502053636144,0.002688433474853125,1.0
Fixed (rho=3),3,900,0.1,151465.0,0.15146500000000013,0.001487686499999999,29,0,29,0,0.0,151.465,0.151465,0.15295268650000013,31.03448275862069,169.9474294444446,2.3767867164031293,5941.966791007824,0.023166978660722516,1.0
Adaptive (Ours),14,800,0.1,117610.0,0.11761000000000002,0.00102726,26,0,26,0,0.0,117.61,0.11761,0.11863726000000002,30.76923076923077,148.29657500000002,2.720857069977043,6802.142674942606,0.013952928148600004,1.0
Fixed (rho=3),6,700,0.1,116795.0,0.11679500000000008,0.0009383490000000003,22,0,22,0,0.0,116.795,0.116795,0.11773334900000008,31.818181818181817,168.1904985714287,2.3973629008091097,5993.4072520227755,0.013750666496455009,1.0
Adaptive (Ours),11,200,0.1,34205.0,0.03420499999999999,0.00010522799999999999,8,0,8,0,0.0,34.205,0.034205,0.03431022799999999,25.0,171.55113999999995,2.3388393509720804,5847.0983774302,0.0011735813487399997,1.0
Adaptive (Ours),1,800,0.1,117610.0,0.11761000000000002,0.0010272599999999997,26,0,26,0,0.0,117.61,0.11761,0.11863726000000002,30.76923076923077,148.29657500000002,2.720857069977043,6802.142674942606,0.013952928148600004,1.0
Fixed (rho=4),16,200,0.1,55182.5,0.05518250000000001,0.00015958079999999996,12,0,12,0,0.0,55.1825,0.0551825,0.05534208080000001,16.666666666666668,276.71040400000004,1.4497349703257374,3624.337425814343,0.0030539143737460007,1.0
Adaptive (Ours),1,600,0.1,90075.0,0.09007500000000003,0.000620928,20,0,20,0,0.0,90.075,0.090075,0.09069592800000004,30.0,151.15988000000007,2.6644462947543714,6661.1157368859285,0.008169435714600003,1.0
Fixed (rho=4),8,100,0.1,27585.0,0.027585,5.236875000000001e-05,6,0,6,0,0.0,27.585,0.027585,0.02763736875,16.666666666666668,276.37368749999996,1.450063440275512,3625.1586006887806,0.00076237681696875,1.0
Fixed (rho=2),6,100,0.1,15902.5,0.0159025,3.606975e-05,4,0,4,0,0.0,15.9025,0.0159025,0.01593856975,25.0,159.3856975,2.5153277786511556,6288.319446627888,0.000253463105449375,1.0
Fixed (rho=2),1,200,0.1,29657.5,0.029657499999999996,9.704249999999999e-05,7,0,7,0,0.0,29.6575,0.0296575,0.029754542499999995,28.571428571428573,148.77271249999998,2.6974626991486135,6743.656747871533,0.0008824453441937498,1.0
Adaptive (Ours),15,500,0.1,76307.5,0.07630750000000004,0.00045509625000000013,17,0,17,0,0.0,76.3075,0.0763075,0.07676259625000004,29.41176470588235,153.52519250000006,2.6209743472135765,6552.435868033942,0.0058575618133468775,1.0
Fixed (rho=2),17,300,0.1,44237.5,0.04423750000000001,0.00018612675,10,0,10,0,0.0,44.2375,0.0442375,0.044423626750000014,30.0,148.0787558333334,2.712630686634643,6781.576716586606,0.0019651901883531255,1.0
Fixed (rho=4),5,900,0.1,254310.0,0.25431000000000026,0.0022922864999999986,56,0,56,0,0.0,254.31,0.25431,0.2566022865000003,16.071428571428573,285.11365166666695,1.41559513979002,3538.9878494750506,0.06525652747981507,1.0
Adaptive (Ours),5,700,0.1,103842.5,0.10384250000000003,0.0008116852500000004,23,0,23,0,0.0,103.8425,0.1038425,0.10465418525000003,30.434782608695652,149.50597892857147,2.6963911693189204,6740.977923297301,0.01086755223182313,1.0
Fixed (rho=2),0,500,0.1,71760.0,0.07176000000000005,0.0004347945000000002,16,0,16,0,0.0,71.76,0.07176,0.07219479450000005,31.25,144.3895890000001,2.7870680044593086,6967.670011148271,0.005180698453320004,1.0
Fixed (rho=2),19,200,0.1,29657.5,0.029657499999999996,9.740699999999998e-05,7,0,7,0,0.0,29.6575,0.0296575,0.029754906999999997,28.571428571428573,148.774535,2.6974626991486135,6743.656747871533,0.0008824561543525,1.0
Fixed (rho=2),12,400,0.1,58005.0,0.05800500000000003,0.0002979,13,0,13,0,0.0,58.005,0.058005,0.058302900000000026,30.76923076923077,145.75725000000006,2.7583828980260323,6895.95724506508,0.0033818597145000013,1.0
Fixed (rho=2),10,100,0.1,15902.5,0.0159025,3.627e-05,4,0,4,0,0.0,15.9025,0.0159025,0.01593877,25.0,159.38770000000002,2.5153277786511556,6288.319446627888,0.000253466289925,1.0
Fixed (rho=4),6,700,0.1,199140.0,0.19914000000000015,0.0014120955000000003,44,0,44,0,0.0,199.14,0.19914,0.20055209550000014,15.909090909090908,286.50299357142876,1.4060459977904993,3515.114994476248,0.03993794429787003,1.0
Fixed (rho=2),9,300,0.1,44237.5,0.04423750000000001,0.00018612675000000004,10,0,10,0,0.0,44.2375,0.0442375,0.044423626750000014,30.0,148.0787558333334,2.712630686634643,6781.576716586606,0.0019651901883531255,1.0
Fixed (rho=4),2,200,0.1,55182.5,0.05518250000000001,0.00016015409999999995,12,0,12,0,0.0,55.1825,0.0551825,0.055342654100000006,16.666666666666668,276.7132705,1.4497349703257374,3624.337425814343,0.0030539460098732503,1.0
